ID_Carro,Marca,Año,Tamaño_Motor,Combustible,Transmision,Kilometraje,Condicion,Precio,Modelo
99.0,Tesla,2020,5.6,Híbrido,Automática,124279,Nuevo,17098.13,Modelo 3
100.0,Tesla,2014,1.5,Gasolina,Automática,29362,Nuevo,90915.8,Modelo 3
101.0,Mercedes,2000,4.8,Gasolina,Automática,158818,Nuevo,54955.72,GLA
102.0,Tesla,2011,3.0,Eléctrico,Manual,242721,Nuevo,80199.63,Modelo S
103.0,BMW,2006,4.3,Híbrido,Automática,165229,Nuevo,15952.67,X5
104.0,Toyota,2014,2.3,Diésel,Manual,142394,Usado,93126.06,Camry
105.0,Mercedes,2020,1.8,Gasolina,Manual,69812,Usado,83008.5,GLC
106.0,Audi,2018,1.8,Híbrido,Manual,296161,Usado,26352.59,A4
107.0,Audi,2000,1.4,Eléctrico,Manual,228208,Usado,88047.31,Q7
108.0,Honda,2016,1.9,Diésel,Manual,279773,Nuevo,30027.06,Accord
109.0,Tesla,2016,4.3,Eléctrico,Manual,128614,Usado,24507.29,Modelo 3
110.0,Audi,2002,5.4,Gasolina,Automática,96950,Nuevo,30103.17,Q5
111.0,Honda,2011,5.1,Híbrido,Automática,174942,Usado,91445.73,Accord
113.0,BMW,2010,1.6,Híbrido,Automática,245602,Nuevo,36254.6,X5
114.0,BMW,2002,2.4,Híbrido,Manual,10588,Nuevo,72016.25,Serie 3
115.0,BMW,2007,2.5,Diésel,Manual,168217,Nuevo,69195.8,Serie 5
116.0,Audi,2013,2.2,Diésel,Automática,272743,Usado,81623.45,A3
117.0,Toyota,2013,3.6,Eléctrico,Automática,208502,Usado,33168.4,Camry
118.0,Audi,2009,3.7,Diésel,Automática,134011,Nuevo,53463.16,Q5
119.0,Tesla,2001,2.8,Gasolina,Automática,252856,Nuevo,68429.03,Modelo 3
120.0,Audi,2013,2.8,Gasolina,Automática,284293,Nuevo,7494.4,Q5
121.0,Toyota,2008,5.1,Híbrido,Automática,197639,Nuevo,40790.18,Camry
122.0,Toyota,2002,4.9,Gasolina,Automática,141280,Nuevo,71109.39,Prius
123.0,Tesla,2020,2.5,Eléctrico,Automática,197170,Nuevo,28996.53,Modelo S
124.0,Toyota,2007,5.6,Diésel,Manual,180564,Usado,95981.89,Corolla
125.0,Toyota,2015,5.8,Diésel,Manual,20951,Nuevo,7865.33,Corolla
126.0,BMW,2001,2.6,Diésel,Manual,179992,Nuevo,96018.28,X3
127.0,Tesla,2005,2.8,Gasolina,Manual,46766,Nuevo,25592.57,Modelo X
128.0,Ford,2020,3.5,Diésel,Automática,159423,Nuevo,9638.09,Mustang
129.0,Ford,2011,5.7,Híbrido,Manual,87122,Nuevo,32785.03,Explorer
130.0,Toyota,2004,5.4,Híbrido,Automática,271452,Usado,79696.82,Corolla
131.0,Ford,2001,1.5,Híbrido,Manual,83211,Nuevo,76481.99,Explorer
132.0,Ford,2015,3.0,Gasolina,Automática,126534,Nuevo,24839.84,Focus
133.0,Toyota,2004,3.8,Diésel,Automática,8720,Usado,23695.06,RAV4
134.0,Ford,2014,3.5,Gasolina,Manual,79993,Usado,66045.09,Focus
136.0,Honda,2003,5.3,Eléctrico,Automática,25905,Usado,80267.55,Accord
137.0,Tesla,2014,4.4,Eléctrico,Automática,204580,Usado,7292.61,Modelo 3
138.0,Honda,2010,5.2,Gasolina,Automática,50385,Nuevo,62989.13,Accord
139.0,Toyota,2015,5.3,Híbrido,Manual,30653,Usado,74413.84,Corolla
140.0,BMW,2022,4.7,Gasolina,Manual,91865,Usado,99371.68,Serie 3
141.0,Tesla,2005,3.2,Híbrido,Automática,125813,Nuevo,69484.26,Modelo 3
142.0,Toyota,2013,4.1,Diésel,Manual,145871,Nuevo,27025.29,Prius
143.0,BMW,2017,1.8,Híbrido,Automática,191175,Nuevo,15277.69,Serie 5
144.0,Honda,2011,4.4,Híbrido,Manual,248535,Nuevo,65887.09,Fit
145.0,Toyota,2010,1.9,Diésel,Manual,15052,Usado,54702.39,Camry
146.0,Tesla,2012,4.5,Eléctrico,Manual,137116,Usado,90418.8,Modelo Y
147.0,Tesla,2020,2.1,Diésel,Manual,150943,Usado,74027.76,Modelo 3
148.0,Mercedes,2022,1.6,Gasolina,Manual,220375,Nuevo,53425.53,E-Class
149.0,Audi,2010,1.8,Gasolina,Automática,21381,Usado,43341.0,Q7
150.0,Ford,2022,1.0,Gasolina,Automática,148346,Usado,43415.6,Focus
151.0,BMW,2015,4.6,Gasolina,Manual,243234,Nuevo,26498.91,Serie 3
152.0,Mercedes,2014,4.7,Gasolina,Automática,256017,Nuevo,6645.97,GLA
153.0,Ford,2020,3.6,Eléctrico,Automática,235020,Nuevo,59616.51,Mustang
154.0,Ford,2014,1.8,Eléctrico,Manual,49892,Nuevo,25179.4,Mustang
155.0,Toyota,2003,1.4,Híbrido,Automática,181593,Usado,24791.06,Camry
156.0,Ford,2010,1.1,Gasolina,Manual,214992,Usado,16911.22,Mustang
157.0,Audi,2018,1.8,Diésel,Automática,280064,Usado,23011.57,A3
158.0,Tesla,2014,5.5,Gasolina,Automática,278846,Nuevo,8019.97,Modelo 3
159.0,Mercedes,2003,2.2,Eléctrico,Automática,256216,Usado,69051.99,C-Class
160.0,Ford,2020,2.8,Gasolina,Automática,264038,Usado,43132.73,Fiesta
161.0,Toyota,2012,1.5,Eléctrico,Automática,293129,Usado,58344.84,Camry
162.0,Audi,2021,2.1,Híbrido,Automática,159359,Usado,65510.97,A4
163.0,Honda,2018,3.6,Híbrido,Automática,258771,Usado,97386.03,Civic
164.0,Tesla,2001,4.0,Híbrido,Manual,125702,Nuevo,11485.26,Modelo Y
165.0,Tesla,2013,2.2,Eléctrico,Manual,73527,Usado,44702.18,Modelo 3
166.0,Mercedes,2003,1.3,Gasolina,Manual,146511,Nuevo,28360.3,E-Class
167.0,Tesla,2015,3.0,Gasolina,Manual,225692,Usado,50287.63,Modelo Y
168.0,Ford,2020,2.2,Diésel,Automática,158731,Nuevo,92444.87,Explorer
170.0,Tesla,2013,5.8,Diésel,Automática,235311,Usado,67885.21,Modelo Y
172.0,Honda,2002,3.8,Gasolina,Manual,199378,Usado,68755.69,CR-V
173.0,Honda,2007,3.1,Eléctrico,Manual,56697,Nuevo,8075.66,CR-V
175.0,Audi,2009,3.7,Diésel,Manual,278795,Nuevo,57608.77,A3
176.0,Ford,2003,4.5,Diésel,Automática,180116,Nuevo,37930.84,Fiesta
177.0,Tesla,2017,4.5,Gasolina,Manual,14633,Nuevo,24143.84,Modelo 3
178.0,Tesla,2001,1.9,Gasolina,Automática,79164,Usado,81717.78,Modelo S
180.0,BMW,2012,3.1,Eléctrico,Automática,123425,Nuevo,11618.92,X5
181.0,Audi,2003,5.4,Gasolina,Manual,250220,Nuevo,46849.57,Q7
182.0,BMW,2010,4.2,Eléctrico,Manual,295182,Nuevo,28992.68,Serie 5
183.0,Mercedes,2006,3.7,Diésel,Automática,180160,Usado,75817.98,GLA
184.0,Audi,2011,1.6,Diésel,Automática,204249,Usado,65248.06,Q7
185.0,Tesla,2009,4.0,Híbrido,Manual,205538,Usado,78390.81,Modelo Y
186.0,Tesla,2006,1.6,Gasolina,Automática,197865,Usado,35844.5,Modelo X
187.0,Audi,2012,2.7,Diésel,Manual,201466,Usado,75349.3,A4
188.0,Tesla,2006,1.7,Gasolina,Automática,187223,Nuevo,86918.81,Modelo Y
190.0,Audi,2016,2.0,Diésel,Automática,137980,Usado,37290.1,Q5
191.0,BMW,2009,3.0,Gasolina,Manual,68447,Nuevo,90495.38,X3
192.0,Audi,2009,5.5,Diésel,Manual,205599,Nuevo,9730.07,Q5
193.0,Tesla,2023,2.0,Diésel,Manual,226301,Nuevo,38267.99,Modelo X
194.0,Ford,2003,3.5,Gasolina,Automática,279778,Nuevo,16273.89,Fiesta
196.0,Mercedes,2003,1.1,Diésel,Automática,55063,Usado,15722.59,GLA
198.0,Honda,2006,1.3,Diésel,Automática,19340,Usado,70260.83,Accord
199.0,Honda,2021,3.4,Eléctrico,Manual,62781,Nuevo,32481.83,CR-V
200.0,Audi,2000,3.8,Diésel,Automática,277045,Usado,85719.15,Q5
201.0,Mercedes,2011,4.1,Híbrido,Automática,10638,Usado,46573.48,GLA
202.0,Toyota,2023,4.4,Diésel,Automática,217986,Nuevo,96981.66,Prius
203.0,Audi,2012,2.3,Gasolina,Manual,221668,Nuevo,95644.79,A3
204.0,Mercedes,2009,1.0,Híbrido,Automática,294786,Nuevo,78461.24,GLC
205.0,BMW,2014,4.6,Eléctrico,Automática,25378,Usado,93578.52,Serie 3
206.0,BMW,2012,3.7,Híbrido,Automática,118171,Nuevo,72174.13,X3
207.0,BMW,2022,5.2,Híbrido,Automática,214801,Nuevo,90080.4,X3
208.0,BMW,2021,5.1,Híbrido,Manual,64377,Nuevo,27465.0,Serie 3
209.0,BMW,2021,5.2,Gasolina,Manual,260339,Nuevo,37814.92,X5
210.0,Mercedes,2020,3.4,Gasolina,Automática,54691,Nuevo,76528.36,C-Class
214.0,Tesla,2014,1.9,Gasolina,Manual,121399,Usado,33474.3,Modelo S
215.0,BMW,2009,5.3,Híbrido,Manual,31357,Nuevo,83227.83,Serie 5
216.0,Toyota,2023,5.4,Gasolina,Manual,294458,Usado,19655.11,Corolla
217.0,Tesla,2009,3.3,Diésel,Manual,70283,Nuevo,36748.69,Modelo Y
218.0,Mercedes,2007,1.4,Gasolina,Automática,59567,Usado,54206.67,C-Class
220.0,Toyota,2015,5.0,Eléctrico,Manual,141758,Nuevo,60030.44,Prius
221.0,Toyota,2016,5.5,Diésel,Manual,61606,Usado,59976.03,RAV4
222.0,Ford,2004,2.0,Eléctrico,Automática,281035,Usado,24655.78,Fiesta
223.0,Mercedes,2003,1.3,Eléctrico,Automática,101732,Nuevo,80585.93,GLA
224.0,Toyota,2017,5.4,Híbrido,Automática,191791,Nuevo,65006.23,RAV4
225.0,BMW,2023,2.9,Diésel,Automática,292021,Nuevo,35187.25,X3
226.0,Audi,2018,3.7,Híbrido,Automática,249465,Nuevo,27057.55,A4
227.0,Toyota,2003,5.8,Híbrido,Manual,224589,Nuevo,88481.26,Corolla
228.0,Ford,2006,1.3,Gasolina,Manual,14026,Usado,84395.51,Fiesta
229.0,Tesla,2009,4.2,Diésel,Automática,282566,Nuevo,26827.26,Modelo Y
230.0,Mercedes,2017,1.4,Gasolina,Automática,295625,Nuevo,8382.5,GLC
231.0,Ford,2018,2.9,Gasolina,Manual,109384,Nuevo,81430.6,Explorer
232.0,Toyota,2003,5.0,Híbrido,Automática,252771,Nuevo,63473.31,Corolla
233.0,Mercedes,2009,3.2,Eléctrico,Manual,58031,Nuevo,14583.79,C-Class
235.0,Toyota,2022,3.8,Eléctrico,Manual,143084,Nuevo,47957.36,Camry
236.0,Ford,2017,2.6,Híbrido,Manual,236503,Nuevo,78582.28,Focus
237.0,Honda,2004,2.1,Híbrido,Automática,292104,Usado,24863.06,Fit
239.0,Tesla,2016,2.9,Híbrido,Manual,130066,Usado,19843.19,Modelo X
241.0,Mercedes,2011,2.8,Híbrido,Automática,264837,Nuevo,78980.12,GLA
242.0,Toyota,2001,3.3,Eléctrico,Automática,115313,Nuevo,74988.63,Corolla
243.0,BMW,2000,4.6,Gasolina,Automática,28810,Nuevo,70569.63,Serie 3
244.0,Toyota,2022,4.3,Eléctrico,Manual,20092,Nuevo,45216.96,Prius
245.0,Mercedes,2020,4.5,Diésel,Automática,58105,Usado,92711.83,C-Class
246.0,Toyota,2016,1.0,Eléctrico,Manual,161577,Nuevo,11927.12,RAV4
248.0,BMW,2015,4.3,Eléctrico,Automática,290699,Nuevo,25447.11,Serie 3
249.0,BMW,2004,3.4,Gasolina,Manual,71934,Nuevo,35782.66,X3
250.0,Mercedes,2014,1.0,Diésel,Automática,72788,Usado,54345.82,GLA
251.0,Tesla,2002,5.0,Eléctrico,Automática,280083,Nuevo,79352.23,Modelo S
254.0,Toyota,2009,1.3,Diésel,Manual,36,Nuevo,43288.37,Camry
256.0,Toyota,2013,3.9,Híbrido,Automática,80738,Nuevo,28419.52,Camry
257.0,Toyota,2012,4.9,Eléctrico,Automática,60071,Usado,81293.98,Camry
258.0,Ford,2001,4.8,Gasolina,Automática,130613,Nuevo,63144.71,Focus
259.0,Toyota,2002,5.0,Eléctrico,Manual,73601,Nuevo,40805.03,Camry
261.0,Honda,2020,1.7,Diésel,Manual,167720,Nuevo,47426.93,Fit
262.0,BMW,2017,4.4,Eléctrico,Manual,71468,Nuevo,31288.4,X3
263.0,Mercedes,2002,4.1,Diésel,Automática,288614,Nuevo,14912.93,E-Class
264.0,Tesla,2009,4.7,Diésel,Automática,196201,Nuevo,12140.06,Modelo 3
265.0,Audi,2021,1.8,Eléctrico,Automática,8328,Nuevo,38018.04,A3
266.0,Toyota,2006,2.0,Gasolina,Manual,137405,Usado,63401.95,Camry
267.0,Toyota,2008,5.5,Diésel,Automática,251519,Usado,84564.33,Prius
268.0,Ford,2016,4.7,Diésel,Manual,121173,Nuevo,22438.51,Focus
269.0,Mercedes,2010,5.5,Eléctrico,Automática,46638,Nuevo,45341.18,GLC
270.0,Honda,2006,4.8,Eléctrico,Automática,273412,Nuevo,42235.83,Accord
271.0,Audi,2023,4.0,Eléctrico,Manual,201675,Usado,53772.43,A4
272.0,BMW,2013,4.3,Eléctrico,Manual,113920,Nuevo,81910.79,Serie 5
273.0,Honda,2018,5.4,Eléctrico,Automática,171813,Nuevo,57596.3,CR-V
274.0,Mercedes,2003,3.9,Híbrido,Automática,7887,Usado,85432.22,E-Class
275.0,Tesla,2005,4.2,Eléctrico,Automática,228978,Nuevo,54262.42,Modelo S
276.0,BMW,2009,1.8,Gasolina,Automática,24918,Usado,62365.5,Serie 5
277.0,Tesla,2006,3.4,Diésel,Automática,297641,Usado,46551.41,Modelo X
278.0,Ford,2012,4.6,Gasolina,Manual,192081,Nuevo,83194.08,Fiesta
279.0,Ford,2013,2.4,Gasolina,Manual,274073,Nuevo,92763.58,Explorer
280.0,Toyota,2003,2.0,Híbrido,Manual,102201,Usado,65718.75,Corolla
281.0,Tesla,2007,2.6,Eléctrico,Manual,210171,Usado,82974.33,Modelo X
282.0,Mercedes,2004,2.2,Diésel,Automática,290690,Nuevo,10605.32,E-Class
284.0,BMW,2003,3.1,Eléctrico,Manual,168410,Nuevo,22947.88,Serie 5
285.0,Honda,2002,5.5,Eléctrico,Manual,82494,Nuevo,29369.44,CR-V
286.0,Mercedes,2008,3.5,Híbrido,Automática,215859,Usado,10066.36,GLA
287.0,Mercedes,2007,1.9,Híbrido,Manual,233853,Nuevo,96713.01,GLA
288.0,Ford,2000,1.4,Híbrido,Automática,128279,Nuevo,85941.03,Fiesta
289.0,Tesla,2005,4.5,Diésel,Manual,81991,Nuevo,91752.54,Modelo S
290.0,Toyota,2008,2.9,Gasolina,Automática,290157,Nuevo,85485.54,Camry
291.0,Toyota,2006,5.1,Híbrido,Manual,52132,Usado,50555.4,Camry
292.0,BMW,2003,4.3,Híbrido,Automática,255069,Nuevo,92787.78,Serie 3
293.0,Ford,2012,5.0,Híbrido,Manual,159156,Nuevo,97099.92,Explorer
294.0,Mercedes,2016,2.4,Gasolina,Automática,152215,Usado,52743.86,E-Class
295.0,Audi,2001,4.5,Gasolina,Automática,91627,Usado,21684.35,A4
296.0,Ford,2004,2.3,Híbrido,Manual,122772,Usado,67569.14,Focus
298.0,BMW,2020,4.2,Eléctrico,Automática,141294,Nuevo,87853.95,X5
300.0,BMW,2005,2.3,Diésel,Manual,16116,Nuevo,93712.71,Serie 5
301.0,Ford,2007,2.0,Diésel,Automática,182124,Nuevo,89925.46,Mustang
302.0,Honda,2017,4.5,Híbrido,Manual,51369,Nuevo,78746.76,Accord
303.0,Ford,2002,2.1,Gasolina,Manual,179889,Usado,73235.92,Explorer
304.0,Tesla,2021,4.0,Eléctrico,Manual,233982,Usado,30152.88,Modelo 3
305.0,Ford,2011,2.3,Gasolina,Automática,214275,Nuevo,64027.3,Explorer
306.0,BMW,2002,4.3,Híbrido,Automática,205383,Usado,54541.42,X3
307.0,Tesla,2021,5.1,Diésel,Automática,291799,Usado,86884.69,Modelo Y
308.0,BMW,2005,4.9,Eléctrico,Automática,188874,Usado,51712.69,X5
309.0,Toyota,2001,4.8,Gasolina,Automática,47632,Nuevo,17135.56,Prius
310.0,Toyota,2022,1.9,Gasolina,Automática,211284,Nuevo,5472.39,Prius
311.0,Tesla,2011,1.4,Híbrido,Automática,161848,Nuevo,69397.95,Modelo S
312.0,Honda,2001,4.5,Eléctrico,Manual,191082,Nuevo,57241.3,Civic
313.0,Toyota,2005,2.8,Diésel,Automática,213807,Usado,36441.48,RAV4
314.0,Ford,2016,3.2,Híbrido,Automática,196523,Nuevo,21052.35,Focus
315.0,BMW,2002,1.2,Eléctrico,Manual,179884,Nuevo,49337.96,Serie 5
316.0,Toyota,2001,2.3,Gasolina,Manual,281039,Nuevo,14527.21,Corolla
317.0,Toyota,2022,1.2,Híbrido,Manual,235892,Usado,36930.31,Corolla
318.0,Honda,2019,5.4,Gasolina,Automática,213408,Usado,41025.13,Fit
319.0,Tesla,2007,2.2,Gasolina,Manual,242718,Nuevo,49233.78,Modelo X
320.0,Tesla,2021,3.8,Híbrido,Automática,192879,Nuevo,49328.97,Modelo X
321.0,Mercedes,2011,1.2,Híbrido,Automática,23086,Nuevo,29415.54,C-Class
322.0,Honda,2003,4.3,Híbrido,Automática,85637,Nuevo,85770.04,Fit
323.0,Ford,2004,2.6,Híbrido,Manual,158279,Nuevo,38776.63,Fiesta
324.0,Tesla,2012,5.5,Híbrido,Manual,151969,Usado,26810.79,Modelo S
325.0,BMW,2014,5.4,Gasolina,Automática,63083,Usado,21701.94,X3
326.0,Honda,2022,2.6,Diésel,Automática,95028,Usado,35644.95,Accord
327.0,Toyota,2015,5.5,Diésel,Automática,97551,Usado,11417.52,RAV4
328.0,BMW,2009,6.0,Híbrido,Manual,138355,Usado,8126.21,Serie 5
329.0,BMW,2022,5.1,Gasolina,Automática,94024,Nuevo,62488.51,Serie 5
330.0,Toyota,2015,5.2,Diésel,Manual,262399,Usado,63818.98,RAV4
331.0,Honda,2011,2.2,Diésel,Automática,207627,Nuevo,55310.88,Civic
332.0,Toyota,2016,3.9,Diésel,Manual,15487,Usado,77417.09,Corolla
334.0,BMW,2011,1.5,Híbrido,Manual,297194,Nuevo,93917.45,Serie 5
335.0,Audi,2007,6.0,Híbrido,Manual,270888,Nuevo,14031.19,Q7
336.0,Audi,2019,2.6,Híbrido,Manual,61596,Nuevo,69032.18,A4
337.0,Ford,2002,4.7,Eléctrico,Manual,214469,Nuevo,17672.68,Mustang
338.0,Tesla,2015,5.0,Eléctrico,Manual,177175,Nuevo,88591.02,Modelo Y
339.0,Toyota,2012,5.3,Eléctrico,Manual,153048,Usado,53517.76,Prius
340.0,Toyota,2022,6.0,Gasolina,Automática,6277,Nuevo,12817.89,RAV4
341.0,Ford,2018,2.2,Diésel,Automática,133332,Nuevo,63588.79,Fiesta
342.0,Ford,2007,1.2,Diésel,Automática,240515,Nuevo,5865.44,Fiesta
343.0,Ford,2021,3.1,Gasolina,Automática,260577,Usado,78722.11,Mustang
344.0,BMW,2004,1.7,Gasolina,Manual,196955,Nuevo,66805.57,X5
345.0,Mercedes,2019,1.1,Híbrido,Automática,286885,Nuevo,25199.35,E-Class
346.0,Toyota,2007,2.8,Híbrido,Manual,299355,Nuevo,40601.34,Camry
347.0,BMW,2023,4.9,Eléctrico,Manual,240464,Nuevo,5741.64,X5
348.0,Ford,2011,3.8,Eléctrico,Manual,258445,Nuevo,70899.96,Focus
